1936,7,12,,July-Dec,rightists,r,exilio 1936,rightists from Catalonia,0,0,0,y,fear of extrajudicial killing by opponents,,Genova,boat ?,boat,,,,,,"mentioned by Balcells 2012, details in  Doll, Ruben: Els catalans de Genova"
1936,8,8,,August,,r,,"priests, monks",0,2000,2000,,fear of extrajudicial killing by opponents,,Andorra,,n/a,,,,,,Bennassar 353
1936,8,8,,03-Aug,,r,,rightists  ,0,143,143,,fear of extrajudicial killing by opponents,Barcelona,Port Vendres,torpedo boat,boat,,,,,,Bennassar 353
1936,,,,,,r,,,0,several hundred,1000,y,fear of extrajudicial killing by opponents,,Marseille and Ste,boat  ,boat,,,,,,Bennassar 353
1936,9,9,,24-Sep,,r,,"pretend pilgrims to Lourdes, well-to-do people with papers and funds",0,34,34,,fear of extrajudicial killing by opponents,,Ariges via Andorra,bus,road,,,,,,Bennassar 353
1936,11,11,,24-Nov,,r,,people with papers and funds,0,13,13,,fear of extrajudicial killing by opponents,,Ariges via Andorra,cars and taxis,road,individual,,,,,Bennassar 353
1936,7,12,,July-Dec,,l,exilio 1936,leftists from Catalonia,0,several thousand,10000,y,fear of extrajudicial killing by opponents,,,,n/a,,,,,,https://es.wikipedia.org/wiki/Exilio_republicano_espa%C3%B1ol
1936,8,9,,30 Aug-1 Sept,first wave of Basque exile abroad,l,during Guipuzcoa campaign,women and children,2272,0,2272,,approaching front,Basque (Irun),France,on foot,foot,individual,"a few weeks, voluntary return after the front had been established at Deva. Half returned to Guipuzcoa, half went to Barcelona. 5000 stayed in France permanently in Hautes-PyrŽnŽes.",weeks,"local authorities in France, leftist organisations, church (soon dispersed to other parts of France)","local authorities, leftist organisation, church","Carballes 684

Serrallonga 33: 16'000 Basque IDPs in Catalonia by end 1936"
1936,0,9,Y,before 13 Sept,,l,(before fall of San Sebastian),"women, children, old people",16500,0,16500,y,approaching front,San Sebastian,France,boats,boat,Junta de Defensa and military command,"a few weeks, voluntary return after the front had been established at Deva. Half returned to Guipuzcoa, half went to Barcelona. 5000 stayed in France permanently in Hautes-PyrŽnŽes.

Casas/Urquijo: 17489 children were evacuated to France, of which 12831 were repatriated (no more detail). p. 35",weeks,"local authorities in France, leftist organisations, church (soon dispersed to other parts of France)","local authorities, leftist organisation, church","Carballes 684, figures not quite clear! Details (not clearer) Bennassar 354"
1936,0,9,Y,before 13 Sept,,l,,militiamen,2500,0,2500,y,approaching front,,France,,n/a,Junta de Defensa and military command,"short term, repatriation to Catalonia via Port Bou",,"local authorities in France, leftist organisations, church (soon dispersed to other parts of France)",,"Carballes 684, figures not quite clear!"
